layer_name,0,1,2,3,4,5,6,7,8,9
resnet.layer2.2.conv1,0.00030645196,8.6112384e-05,8.6112384e-05,0.00021571125,0.00018922277,0.00022495826,0.00022495826,3.3797827e-05,3.3797827e-05,3.3797827e-05
resnet.layer2.2.bn1,0.0012998104,0.00036129408,0.00036129408,0.000914563,0.00079218723,0.0009257092,0.0009257092,0.000189232,0.000189232,0.000189232
resnet.layer2.2.conv2,0.00022729198,0.00010250168,5.0508548e-05,3.8481652e-05,3.021644e-05,8.223065e-05,8.223065e-05,5.670474e-05,5.670474e-05,5.670474e-05
resnet.layer2.2.bn2,0.0011187694,0.00048589788,0.0002567972,0.00018307945,0.00013400218,0.0003807993,0.0003807993,0.0002781786,0.0002781786,0.0002781786
resnet.layer2.2.conv3,4.708035e-05,1.5391943e-05,6.9387497e-06,1.0822954e-05,2.0889594e-05,3.8714017e-05,3.8714017e-05,1.3732388e-06,1.3732388e-06,1.3732388e-06
resnet.layer2.2.bn3,0.00039794474,0.00013095583,5.5375058e-05,9.662751e-05,0.00018239595,0.0003391093,0.0003391093,9.436102e-06,9.436102e-06,9.436102e-06
resnet.layer2.2.relu,0.00065609603,0.0002186175,0.00015374238,0.00043212966,0.00032243575,0.000422997,0.000422997,6.8154826e-05,6.8154826e-05,6.8154826e-05
resnet.layer2.3,0.00088004814,0.00031832693,0.00022083556,0.00052416394,0.00044954685,0.00060626713,0.00060626713,0.00013564591,0.00013564591,0.00013564591
resnet.layer2.3.conv1,0.00042053906,0.00013315256,8.147865e-05,0.00016208034,0.00015133584,0.00018485406,0.00018485406,2.7867034e-05,2.7867034e-05,2.7867034e-05
resnet.layer2.3.bn1,0.0018425797,0.0005814228,0.00037663383,0.000707587,0.00069782534,0.00084030395,0.00084030395,0.00016124838,0.00016124838,0.00016124838
resnet.layer2.3.conv2,0.0003992836,0.00022824161,0.00019513286,0.0004454333,0.00041839498,0.0004500444,0.0004500444,0.00024481266,0.00024481266,0.00024481266
resnet.layer2.3.bn2,0.0023985805,0.0013610059,0.001130556,0.0025578106,0.0023438954,0.0026635875,0.0026635875,0.0014577131,0.0014577131,0.0014577131
resnet.layer2.3.conv3,0.00013052588,5.3789314e-05,4.9203147e-05,0.00011557162,0.000100519836,0.00014133123,0.00014133123,5.9344304e-05,5.9344304e-05,5.9344304e-05
resnet.layer2.3.bn3,0.00095624046,0.0004050525,0.00038009055,0.00081954023,0.00071104604,0.0010166867,0.0010166867,0.0004423465,0.0004423465,0.0004423465
resnet.layer2.3.relu,0.00088004814,0.00031832693,0.00022083556,0.00052416394,0.00044954685,0.00060626713,0.00060626713,0.00013564591,0.00013564591,0.00013564591
resnet.layer3,0.00064326916,0.001207567,0.00066603743,0.0006620833,0.0024821227,0.011726558,0.010205388,0.058954757,0.004109418,0.031236872
resnet.layer3.0,0.00050029653,0.00015762466,0.00010543328,3.7157268e-05,0.0002121804,0.00020375167,0.00020375167,0.00028400437,0.00028400437,0.00028400437
resnet.layer3.0.conv1,0.0003380764,0.00015345629,0.000117955526,0.00019477602,0.00015883966,0.00023493459,0.00023493459,5.1794923e-05,5.1794923e-05,5.1794923e-05
resnet.layer3.0.bn1,0.0014771332,0.00068824977,0.00053367106,0.00088018266,0.00071426114,0.0010499337,0.0010499337,0.00025127322,0.00025127322,0.00025127322
