layer_name,0,1,2,3,4,5,6,7,8,9
layer3.0.bn3,0.0033274442,0.00048429891,0.00031528622,5.3662807e-05,0.006510727,0.00786658,0.009042518,0.008798573,0.003691258,0.0048833676
layer3.0.relu,0.0066661313,0.009062715,0.008614037,0.009861123,0.0183772,0.01908857,0.018859912,0.022351805,0.022575468,0.023283973
layer3.0.down_sample_layer,0.012324095,0.014511913,0.020873487,0.026443765,0.12429975,0.13911143,0.13906458,0.14981031,0.15646623,0.15520391
layer3.0.down_sample_layer.0,0.0071573257,0.018304706,0.016097754,0.020988196,0.110047325,0.12354694,0.12544867,0.13578105,0.14048879,0.14067455
layer3.0.down_sample_layer.1,0.012324095,0.014511913,0.020873487,0.026443765,0.12429975,0.13911143,0.13906458,0.14981031,0.15646623,0.15520391
layer3.1,0.0077434666,0.009469431,0.00924756,0.010543194,0.021558803,0.022715893,0.019745585,0.023420077,0.024119046,0.024533566
layer3.1.conv1,0.023932628,0.017808981,0.017328247,0.018131152,0.042870566,0.048242614,0.04665471,0.050877497,0.05380975,0.051041085
layer3.1.bn1,0.043560922,0.036786795,0.036276326,0.037708357,0.08436577,0.09355855,0.092161134,0.10195838,0.106923655,0.10293454
layer3.1.conv2,0.002195686,0.04160939,0.02477476,0.02809164,0.047134794,0.057845443,0.03535062,0.05326724,0.061609574,0.057559885
layer3.1.bn2,0.0042672604,0.033255942,0.020012952,0.022866517,0.030922085,0.037090875,0.019902274,0.033483446,0.041137435,0.03759916
layer3.1.conv3,0.0014322028,0.006913252,0.0012501627,0.0023127794,0.006203238,0.0050165467,0.0006841272,0.0039190613,0.0074403808,0.006551519
layer3.1.bn3,0.0008339137,0.004570069,0.00052898563,0.0014027674,0.004316587,0.0034953542,0.0006529987,0.002746161,0.005290374,0.0044341963
layer3.1.relu,0.0077434666,0.009469431,0.00924756,0.010543194,0.021558803,0.022715893,0.019745585,0.023420077,0.024119046,0.024533566
layer3.2,0.008692052,0.014434632,0.008514088,0.028031796,0.03574884,0.041765027,0.048613675,0.04873894,0.048437275,0.047729693
layer3.2.conv1,0.026876472,0.015864968,0.009400375,0.011283532,0.041687407,0.045119792,0.04387957,0.047816694,0.05268988,0.04779003
layer3.2.bn1,0.051951036,0.034153044,0.019535616,0.6508696,1.1585695,1.0890652,0.7216265,0.683386,0.69111955,0.66524637
layer3.2.conv2,0.023849621,0.057410464,0.09586692,0.5556993,0.7012299,0.7306199,0.58707416,0.59184694,0.57422674,0.5791071
layer3.2.bn2,0.026528716,0.07108222,0.10446444,0.5246113,0.65458983,0.6797794,0.54068714,0.5452226,0.5243705,0.52863896
layer3.2.conv3,0.011254907,0.014055897,0.004559744,0.07532358,0.09993394,0.10969888,0.11547613,0.11849084,0.116428964,0.116463974
layer3.2.bn3,0.0070620235,0.008678883,0.0027491115,0.050420687,0.06590469,0.072674274,0.07900235,0.08189887,0.081434205,0.081333905
layer3.2.relu,0.008692052,0.014434632,0.008514088,0.028031796,0.03574884,0.041765027,0.048613675,0.04873894,0.048437275,0.047729693
layer3.3,0.024865098,0.029332101,0.016895257,0.005542919,0.010876611,0.017374627,0.38387078,0.40034884,0.41811544,0.4289373
layer3.3.conv1,0.03305795,0.04058425,0.03055022,0.036000513,0.04559522,0.06301678,0.097341664,0.108532846,0.115271896,0.11620455
layer3.3.bn1,0.063170075,0.081125766,0.12273671,0.38764322,0.41699767,0.49145964,0.6468948,0.69068146,0.723708,0.7252255
layer3.3.conv2,0.01345177,0.0077545047,0.265374,0.5475503,0.53095335,0.6364615,1.4185438,1.484,1.5426538,1.585439
layer3.3.bn2,0.012394905,0.003156349,0.27718818,0.564717,0.54448307,0.6488149,1.438511,1.504655,1.5737149,1.625841
layer3.3.conv3,0.0073441826,0.0003489256,0.069113426,0.1336281,0.12028669,0.1404386,0.615509,0.6464684,0.6794134,0.69566894
layer3.3.bn3,0.004410049,0.0014719032,0.041622106,0.07935328,0.07214241,0.08423674,0.3894613,0.40970746,0.42772463,0.43864968
layer3.3.relu,0.024865098,0.029332101,0.016895257,0.005542919,0.010876611,0.017374627,0.38387078,0.40034884,0.41811544,0.4289373
layer3.4,0.02243559,0.029397689,0.01662194,0.008631617,0.016576238,0.023145512,0.22542483,0.2421416,0.268162,0.26758838
layer3.4.conv1,0.03950247,0.052686747,0.029270634,0.0013790801,0.012035169,0.016789228,1.0590793,1.1266389,1.2057706,1.2264363
layer3.4.bn1,0.077960834,0.105171345,0.059794366,0.0021316856,0.025147796,0.035653546,2.1335373,2.2686343,2.4245102,2.472848
layer3.4.conv2,0.0258822,0.060056977,0.041021824,0.030152872,0.067123204,0.06343211,2.4666684,2.6114588,2.8434231,2.9537215
layer3.4.bn2,0.03090185,0.068799704,0.047128424,0.034917697,0.07629199,0.07382482,2.821556,2.9870198,3.2630582,3.3906102
layer3.4.conv3,0.007446151,0.017816894,0.011461962,0.015018076,0.02488225,0.025926739,0.58094406,0.60139036,0.67962587,0.6962543
layer3.4.bn3,0.004340401,0.009306813,0.0057004467,0.008284079,0.014063142,0.014659032,0.32637095,0.3377795,0.38610476,0.3945351
layer3.4.relu,0.02243559,0.029397689,0.01662194,0.008631617,0.016576238,0.023145512,0.22542483,0.2421416,0.268162,0.26758838
layer3.5,0.020530663,0.028939761,0.014894217,0.011639155,0.022000648,0.029546082,0.25204033,0.2748409,0.30463654,0.28614485
layer3.5.conv1,0.04231581,0.061040893,0.037797667,0.0033486784,0.016513593,0.027760074,0.5853529,0.6563552,0.7041482,0.69388086
layer3.5.bn1,0.08050045,0.11610123,0.07122506,0.0059765577,0.03245154,0.053246558,1.0993397,1.2294666,1.3160877,1.2988358
layer3.5.conv2,0.007864088,0.027688645,0.00958091,0.06262609,0.101859555,0.14322154,1.136056,1.3030374,1.4357213,1.3619322
layer3.5.bn2,0.0040308684,0.03038077,0.008056089,0.06490296,0.10295741,0.14584717,1.1813186,1.3548356,1.4897051,1.4136509
layer3.5.conv3,0.006138265,0.0022747032,0.008456934,0.026693478,0.03536864,0.044882495,0.22959955,0.26307034,0.28497243,0.3129608
